Water System Name,Population Served,Pb + Cu Rule,Radionucleotides,Long Term 2,Surface Water Rule,Stage 1+2,Total Coliform,Volatile Organic Chemical,Synthetic Organics,Nitrates,Source Type,System Address,Contact Phone,Cities Served,Counties Served
ACUED. COM. BO. QUEBRADILLAS,"1,862",0,0,0,0,0,1,0,0,0,Surface water,"CARR. 152 KM. 7.8 INT.
SECTOR FARALLON
BARRANQUITAS, PR 00794",787-857-2501,BARRANQUITAS,Barranquitas Municipio
GUAYABOTA,"1,852",1,0,14 (known),0,0,0,0,0,0,Surface water,"CARR. 3 R-90 KM. 9.9
YABUCOA, PR 00767",787-620-2277,"GUAYABOTA, YABUCOA",Yabucoa Municipio
CIMARRONA,"1,817",1,0,0,0,0,0,0,0,0,Surface water,"CARR. 713 KM. 0.1
GUAYAMA, PR 00784",787-620-2277,BARCELONETA,Barceloneta Municipio
RIO ARRIBA,"1,777",1,0,0,0,0,0,0,0,0,Surface water,"CARR. 10 KM. 65.4 INT.
ARECIBO, PR 00612",787-620-2277,ARECIBO,Arecibo Municipio
COM. ANONES MAYA,"1,750",0,0,0,0,0,49(known),0,0,0,Surface water,"CARR. 878 KM.3.7
BO ANONES
NARANJITO, PR 00719",787-869-6392,NARANJITO,Naranjito Municipio
CULEBRAS,"1,702",1,0,0,0,0,0,0,0,0,Surface water,"CARR. 738 END
CAYEY, PR 00660",787-620-2277,"CAYEY, CULEBRAS",Cayey Municipio
GUARAGUAO,"1,680",0,0,0,2(known),0,0,0,0,0,Surface water,"CARR. 10 KM.16.8
PONCE, PR 00731",787-620-2277,PONCE,Ponce Municipio
RANCHERA,"1,560",1,0,0,4(known),0,0,0,0,0,Surface water,"CARR.128 R 371 KM.10.6
YAUCO, PR 00698",787-620-2277,"RANCHERAS, YAUCO","Ponce Municipio, Yauco Municipio"
COM. RANCHO GRANDE,"1,555",0,0,0,0,0,3(known),0,0,0,Surface water,"CARR. 969 BO. MAIZALES
NAGUABO, PR 00718",787-874-3040,NAGUABO,Naguabo Municipio
ZAMAS,"1,400",0,0,0,0,0,43(known),0,0,0,Surface water,"CARR. 528 KM. 3.5
JAYUYA, PR 00664",787-828-0078,JAYUYA,Jayuya Municipio
JAGUA PASTO,"1,270",1,0,0,3(known),0,0,0,0,0,Surface water,"CARR. 378 KM.10
GUAYANILLA, PR 00656",787-620-2277,"GUAYANILLA, JAGUA PASTO",Guayanilla Municipio
MAMEYES ABAJO,"1,150",1,0,0,0,2(known),0,0,0,0,Surface water,"CARR. 140 KM. 19.2 INT.
UTUADO, PR 00641",787-620-2277,"MAMEYES ABAJO, UTUADO",Utuado Municipio
CANALIZO,"1,147",0,0,0,0,0,0,0,0,0,Surface water,"CARR. 140 KM. 4.0
JAYUYA, PR 00664",787-620-2277,JAYUYA,Jayuya Municipio
PERICHE,"1,100",0,0,0,0,0,35(known),0,0,0,Surface water,"CARR. 361 KM. 6.2 INT.
BO CAIN ALTO
SAN GERMAN, PR 00683",787-892-5664,SAN GERMAN,San German Municipio
JAGUA CEIBA,"1,085",1,0,0,1(known),0,0,0,0,0,Surface water,"CARR. 132 R386 KM. 5
PENUELAS, PR 00624",787-620-2277,PENUELAS,Penuelas Municipio
MALPASO,"1,029",2,0,0,1(known),0,0,0,0,0,Surface water,"CARR. 131 KM.4
PENUELAS, PR 00724",787-620-2277,PENUELAS,Penuelas Municipio
COPAR,"1,000",0,0,0,0,0,0,0,0,0,Surface water,"CAR 568 KM. 28.5
SECTOR LA HERRADURA BO.PADILLA
COROZAL, PR 00783",787-859-3362,COROZAL,Corozal Municipio
COREA METRALLA,"1,000",0,0,0,0,0,50(known),0,0,0,Surface water,"CARR. 387 KM. 4.2
SEC. CORREA BO.QUEBRADA CEIBA
PENUELAS, PR 00624",787-836-5669,PENUELAS,Penuelas Municipio
MONTE DEL ESTADO,973,1,0,0,0,0,0,0,0,0,Surface water,"CARR. 366 KM 1.0 INT.
MARICAO, PR 00606",787-620-2277,"MARICAO, TABONUCO",Maricao Municipio
BO.QUEBRADA ARRIBA,840,0,0,0,0,0,0,0,0,0,Surface water,"CARR.762, KM.3.4
PATILLAS, PR 00723",787-839-7028,PATILLAS,Patillas Municipio
ANON CARMELITA,800,0,0,0,0,0,36(known),0,0,0,Surface water,"CARR.143  (BOSQUE TORO NEGRO)
KM.12 HM.1
PONCE, PR 00731",787-   -,PONCE,Ponce Municipio
MATUYAS,699,2,0,0,0,8(known),0,0,0,0,Surface water,"CARR. 759 KM. 8.8
MAUNABO, PR 00707",787-620-2277,"BO MATUYAS, MAUNABO",Maunabo Municipio
CUBUY MAIZALES,673,3,3(known),15(known),0,0,0,0,0,0,Surface water,"CARR. 186 KM. 2.0
CANOVANAS, PR 00729",787-620-2277,"CUBUY, NAGUABO",Naguabo Municipio
MULAS,652,0,0,0,0,0,0,0,0,0,Surface water,"BO. MULAS CARR. 754 FINAL
PATILLAS, PR 00723",787-839-4896,PATILLAS,Patillas Municipio
MOROVIS,614,0,0,0,0,0,0,0,0,0,Surface water,"CARR. 186 KM. 27.7
RIO GRANDE, PR 00745",787-620-2277,RIO GRANDE,
"ACUED. COM. DEL BO. RUCIO, INC. (ACBRI)",600,0,0,0,0,0,0,0,0,0,Surface water,"CARR. 391 KM. 4.5
BARRIO RUCIO
PENUELAS, PR 00624",787-836-4507,PENUELAS,Penuelas Municipio
LIJAS,596,0,0,0,0,0,20(known),0,0,0,Surface water,"BO. LIJAS CARR. # 31
KM. 15.4 INT.
LAS PIEDRAS, PR 00771",787-210-0903,LAS PIEDRAS,Las Piedras Municipio
LA PICA,595,1,0,0,0,0,0,0,0,0,Surface water,"CARR. 143 KM. 5.0 INT.
JAYUYA, PR 00664",787-620-2277,"JAYUYA, LA PICA",Jayuya Municipio
APEADERO,533,0,0,0,0,0,0,0,0,0,Surface water,"CARR. 562 KM.3.2
VILLALBA, PR 00766",787-620-2277,"PONCE, VILLALBA",Villalba Municipio
BO.REAL,522,0,0,0,0,0,0,0,0,0,Surface water,"CARR.184 KM.12.5
PATILLAS, PR 00723",787-839-4391,PATILLAS,Patillas Municipio
LA SAPIA,510,0,0,0,0,0,55(known),0,0,0,Surface water,"BO. CACAO - HACIENDA
CARR. 157, KM. 2.2 (INT.)
OROCOVIS, PR 00720",787-867-0583,OROCOVIS,Orocovis Municipio
ASOCIACION CIVICA CULTURAL Y SOCIOECONOM,500,0,0,0,0,0,66(known),0,0,0,Surface water,"CARR. 516 KM. 3.3
PONCE, PR 00731",787-843-3403,PONCE,Ponce Municipio
COM. ELADIO ANDREU,500,0,0,0,0,0,49(known),0,0,0,Surface water,"CARR. 802 KM. 3.0
BO. MANA
COROZAL, PR 00783",787-859-5904,COROZAL,Corozal Municipio
SANTA BARBARA,500,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR. 144 R 141 MUNICIPAL
BO.SANTA BARBARA
JAYUYA, PR 00664",787-828-0057,JAYUYA,Jayuya Municipio
VACAS II,500,0,0,0,0,0,54(known),0,0,0,Surface water,"CARR. 561 FINAL
SECTOR MOGOTES BO.VACAS
VILLALBA, PR 00766",787-   -,VILLALBA,Villalba Municipio
VACAS III,500,0,0,0,0,0,0,0,0,0,Surface water,"CARR. 561 KAM 4.1
SECTOR TAMARINDO BO. VACAS
VILLALBA, PR 00766",787-847-6853,VILLALBA,Villalba Municipio
BORINQUEN-PRADERAS,461,0,0,0,0,0,0,0,0,0,Surface water,"CARR. 763 KM. 1.7
CAGUAS, PR 00725",787-747-8254,CAGUAS,Caguas Municipio
SANTA ROSA,460,0,0,0,0,0,23(known),0,0,0,Surface water,"CARR. 528 KM. 4.3
JAYUYA, PR 00664",787-828-1317,JAYUYA,Jayuya Municipio
GUARAGUAO,450,0,0,0,0,0,54(known),0,0,0,Surface water,"CARR. 10 KM.16.8
PONCE, PR 00731",787-620-2277,JUANA DIAZ,Juana Diaz Municipio
CIUDAD EDUCATIVA DR. ROQUE,440,0,0,0,0,0,,0,0,0,Surface water,"CARR. 3 RUTA 906 KM 1.2
BO. AGUACATE, SECTOR LOS PINOS
YABUCOA, PR 00767",787-266-1618,YABUCOA,Yabucoa Municipio
SANTA BARBARA II,424,0,0,0,0,0,55(known),0,0,0,Surface water,"HOSPITAL VIEJO
SECTOR SAN FELIPE
JAYUYA, PR 00664",787-   -,JAYUYA,Jayuya Municipio
GUARAGUAO,420,0,0,0,0,0,5(known),0,0,0,Surface water,"CARR. 10 KM.16.8
PONCE, PR 00731",787-620-2277,YAUCO,Yauco Municipio
TIBES,418,1,0,,1(known),0,0,0,0,0,Surface water,"CARR. 500 KM.12.3
PONCE, PR 00731",787-620-2277,PONCE,Ponce Municipio
ACUEDUCTO LOMAS DEL VIENTO-MAIZALES,400,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR. 969 BO. MAIZALES
SECTOR LA LOMA
NAGUABO, PR 00717",787-690-0827,NAGUABO,Naguabo Municipio
DAMIAN ABAJO,400,0,0,0,0,0,54(known),0,0,0,Surface water,"CARR. 157, KM. 11.9 (INT)
BO. DAMIAN ABAJO
OROCOVIS, PR 00720",787-867-2719,OROCOVIS,Orocovis Municipio
MALTILLO,400,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR.386 KM.2.7(RAMAL)
SECTOR MALTILLO
PENUELAS, PR 00624",787-836-0836,PENUELAS,Penuelas Municipio
ACUED. RURAL SECT. EL VEINTE,387,0,0,0,0,0,0,0,0,0,Surface water,"CARR. 181 INT. SECT. EL VEINTE
BO. GUAYABOTA
YABUCOA, PR 00767",767-893-5106,YABUCOA,Yabucoa Municipio
PORTILLO - MIRAMAR,383,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR 512 KM 9 BO. COLLORES
SECT. PORTILLO - MIRAMAR
JUANA DIAZ, PR 00795",787-260-0024,JUANA DIAZ,Juana Diaz Municipio
ACUED. COMUNAL LA ESTANCIA,352,0,0,0,0,0,55(known),0,0,0,Surface water,"BO.RONCADOR
CARR. 603 FINAL
UTUADO, PR 00641",787-894-0902,UTUADO,Utuado Municipio
HACIENDA RULLAN,340,0,0,0,0,0,55(known),0,0,0,Surface water,"FINCA HIPOLITO MONTERO
CARR. 613 KM. 8.6 BO.TETUAN 2
UTUADO, PR 00641",787-894-4854,UTUADO,Utuado Municipio
VISTA ALEGRE,340,0,0,0,0,0,0,0,0,0,Surface water,"CARR. 561 KM. 3.4
SECTOR VISTA ALEGRE BO. VACAS
VILLALBA, PR 00766",787-847-3706,VILLALBA,Villalba Municipio
HOGARES SEGUROS,330,2,0,0,1(known),0,0,0,0,0,Surface water,"CARR. 143 KM.12.6
PONCE, PR 00731",787-620-2277,PONCE,Ponce Municipio
ALTURAS DE COLLORES,320,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR.140 KM 8.1
JAYUYA P.R.
JAYUYA, PR 00664",787-828-4569,JAYUYA,Jayuya Municipio
APEADERO,320,0,0,0,0,0,9(known),0,0,0,Surface water,"CARR. 562 KM.3.2
VILLALBA, PR 00766",787-620-2277,PATILLAS,Patillas Municipio
CORPORACION PRO SALUD Y MEJORA,320,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR. 386 FINAL
SECTOR FELIPE QUINONES
PENUELAS, PR 00624",787-836-1215,PENUELAS,Penuelas Municipio
RUCIO,308,0,0,0,3(known),0,0,0,0,0,Surface water,"CARR. 132 R 391
PENUELAS, PR 00624",787-758-5757,PENUELAS,Penuelas Municipio
SISTEMA DE AGUA ROOSEVELT ROADS,300,0,0,0,0,0,2(known),0,0,0,Surface water,"CARR. # 3
BUILDING 31
CEIBA, PR 00735",787-622-0808,CEIBA,Ceiba Municipio
VEGUITA,300,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR. 527 KM. 1.7 INT.
JAYUYA, PR 00664",787-620-2277,UTUADO,Utuado Municipio
PINAS-BEATRIZ II,292,0,0,0,0,0,4(known),0,0,0,Surface water,"SECTOR PINAS,
CARR. 1 KM. 48.0 INT.
CAGUAS, PR 00725",787-747-4923,CAGUAS,Caguas Municipio
SALTOS CAGUANA,280,0,0,0,0,0,54(known),0,0,0,Surface water,"CARR. 603 KM. 2.3
BO. RONCADOR UTUADO
UTUADO, PR 00641",787-894-7026,UTUADO,Utuado Municipio
LOS BARROS,275,0,0,0,0,0,51(known),0,0,0,Surface water,"CARR.179 INT.746 FINAL
BO.GUAMANI
GUAYAMA, PR 00784",787-   -,GUAYAMA,Guayama Municipio
BARCELONA,260,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR. 191 KM. 6.5
BO. BARCELONA
RIO GRANDE, PR 00745",787-568-3224,RIO GRANDE,Rio Grande Municipio
COMUNIDAD CHORRERAS,240,0,0,0,0,0,33(known),0,0,0,Surface water,"VIRGILIO TORRES BO.LIMON
CARR. 10 KM. 46.3
UTUADO, PR 00641",787-894-8709,UTUADO,Utuado Municipio
PANDURA,240,0,0,0,0,0,54(known),0,0,0,Surface water,"SECTOR PANDURA, CARR. 386
BARRIO BARREAL
PENUELAS, PR 00624",787-   -,PENUELAS,Penuelas Municipio
QUEDRADA HONDA,240,0,0,0,0,0,35(known),0,0,0,Surface water,"BO QUEDRADA HONDA
SECT. CASA NOVA, CARR. 381 KM 2.2 INT.
GUAYANILLA, PR 00656",787-835-5566,GUAYANILLA,Guayanilla Municipio
MACANEA / ESPINO,224,0,0,0,0,0,55(known),0,0,0,Surface water,"FINCA NICOLAS MOYET
CARR. 181 KM. 15.3 BO.ESPINO
SAN LORENZO, PR 00754",787-736-6227,SAN LORENZO,San Lorenzo Municipio
COM. RIO PIEDRAS,220,0,0,0,0,0,22(known),0,0,0,Surface water,"P.R. 361 KM. 4.8
BO. CAIN ALTO
SAN GERMAN, PR 00683",787-264-4844,SAN GERMAN,San German Municipio
ASOCIACION ACUEDUCTO REVENTON,212,0,0,0,0,0,1(known),0,0,0,Surface water,"CARR.388 KM.3.1 BO.SALTILLO
SECTOR REVENTON
ADJUNTAS, PR 00601",787-829-2706,ADJUNTAS,Adjuntas Municipio
ALTURAS PIZA,200,0,0,0,0,0,54(known),0,0,0,Surface water,"CARR.140  KM. 8.1 INT.
SECTOR ALTURAS PIZA
JAYUYA, PR 00664",787-828-0298,JAYUYA,Jayuya Municipio
VECINOS COMUNIDAD LUIS LEBRON,193,0,0,0,0,0,3(known),0,0,0,Surface water,"CARR. 184 KM. 5.7
BO. GUAVATE SECTOR MONTA%EZ
CAYEY, PR 00736",787-286-3521,CAYEY,Cayey Municipio
QUEBRADA ARENAS,180,0,0,0,0,0,53(known),0,0,0,Surface water,"CARR. 183 R916 KM6.3
SAN LORENZO, PR 00754",787-620-2277,MAUNABO,Maunabo Municipio
ACUED. DE LA COMUNIDAD  DEL DUQUE,172,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR. 971 KM. 13.8 INT.
BO. DUQUE SECTOR TABLONES
NAGUABO, PR 00718",787-874-4266,NAGUABO,Naguabo Municipio
CUBUY-MARINE,150,0,0,0,0,0,55(known),0,0,0,Surface water,"BO. CUBUY CARR.186 INT. 9948
KM 4.2
CANOVANAS, PR 00729",787-876-8558,CANOVANAS,Canovanas Municipio
EL TESORO,135,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR. 139 KM.18
BO. MARAGUER SECTOR EL TESORO
PONCE, PR 00731",787-841-0341,PONCE,Ponce Municipio
ACEITUNA II,132,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR.561 RAMAL FINAL
SECTOR ACEITUNA
VILLALBA, PR 00766",787-847-0689,VILLALBA,Villalba Municipio
VEGUITAS GRIPINAS,130,0,0,0,0,0,54(known),0,0,0,Surface water,"BO.VEGUITAS GRIPINAS
CARR.527 KM.2.3 (CAMINO INT.)
JAYUYA, PR 00664",787-   -,JAYUYA,Jayuya Municipio
LA CASCADA MILAGRASA,128,0,0,0,0,0,51(known),0,0,0,Surface water,"CARR. 10 KM.52.5 INT.
BO. SALTO ARRIBA
UTUADO, PR 00641",787-398-2826,UTUADO,Utuado Municipio
ACUED. COMUNIDAD 18,120,0,0,0,0,0,55(known),0,0,0,Surface water,"BO. ESPINO
CARR. 181 KM 18
SAN LORENZO, PR 00754",787-736-3768,SAN LORENZO,San Lorenzo Municipio
LAS MESAS,120,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR. MUNICIPAL
ENTRANDO POR CARR. 511 KM. 6.9
PONCE, PR 00780",787-840-1487,PONCE,Ponce Municipio
PELCHAS,120,0,0,0,0,0,52(known),0,0,0,Surface water,"CARR. 378 KM.11.0 BO.PASTO
CAMINO MUNICIPAL
GUAYANILLA, PR 00656",787-835-2660,GUAYANILLA,Guayanilla Municipio
SISTEMA DE AGUA CACAO,120,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR. 375 SECTOR CACAO
BO. SIERRA ALTA
YAUCO, PR 00698",,YAUCO,Yauco Municipio
LA PRIETA,116,0,0,0,0,0,53(known),0,0,0,Surface water,"HC-01 BOX 2409
COMERIO, PR 00782",787-875-4562,COMERIO,Comerio Municipio
ACUED. CAÑABON SECTOR EL PARQUE,113,0,0,0,0,0,4(known),0,0,0,Surface water,"CARR. 772 KM. 7.0 BO. CAÑABON
SECTOR EL PARQUE
BARRANQUITAS, PR 00794",787-857-1846,,Barranquitas Municipio
LA JULITA,108,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR. 149 KM. 46.9
BO. LA JULITA
VILLALBA, PR 00766",787-847-7141,VILLALBA,Villalba Municipio
LOS BARROS MARIN,108,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR. 7759 KM. 3.4
PATILLAS, PR 00723",787-839-8824,PATILLAS,Patillas Municipio
JUAN DIEGO,103,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR.976 KM.12.1
BO.RIO ARRIBA
FAJARDO, PR 00738",787-860-5813,FAJARDO,Fajardo Municipio
ACUED. DE LA COMUNIDAD,100,0,0,0,0,0,55(known),0,0,0,Surface water,"SEC.MAGUELLES FCA.RAFAEL RUIZ
CARR. 128 RAMAL 431
LARES, PR 00669",787-897-3427,LARES,Lares Municipio
COMUNIDAD EL FRIO,100,0,0,0,0,0,53(known),0,0,0,Surface water,"CARR. 143 KM. 30.5
SECTOR EL FRIO
OROCOVIS, PR 00720",787-867-6753,OROCOVIS,Orocovis Municipio
SISTEMA DE AGUA MATUYAS BAJO,88,0,0,0,0,0,53(known),0,0,0,Surface water,"CARR 759 KM 6.2 INTERIOR
BO. MATUYAS BAJO
MAUNABO, PR 00707",787-204-1595,,Maunabo Municipio
FINCA LOS GARCIA,84,0,0,0,0,0,53(known),0,0,0,Surface water,"SEC. HOYO BO. PALMASOLA
CARR. 957 KM. 3.4
CANOVANAS, PR 00729",787-886-2243,CANOVANAS,Canovanas Municipio
ACUEDUCTO FAMILIA TORRES,80,0,0,0,0,0,55(known),0,0,0,Surface water,"HC-7 BOX 24094
PONCE, PR 00731",787-259-0437,PONCE,Ponce Municipio
EL YUMURI,80,0,0,0,0,0,51(known),0,0,0,Surface water,"CARR. 139 KM. 17.2
PONCE, PR 00731",787-844-7767,PONCE,Ponce Municipio
LOS VAZQUEZ,80,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR. 944 KM. 2.8 INT.
SEC.LOS VAZQUEZ BO. HATO NUEVO
GURABO, PR 00778",787-737-7873,GURABO,Gurabo Municipio
ACEITUNA I,69,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR.561 PRIMER RAMAL
SECTOR ACEITUNA SIERRITA VACA
VILLALBA, PR 00766",787-847-1351,VILLALBA,Villalba Municipio
SIST. RURAL GRAULAO,64,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR. 10 KM. 56.7
BO. SALTO ABAJO
UTUADO, PR 00641",787-894-9036,UTUADO,Utuado Municipio
ACUED. DELGADO VEGA Y OTROS,60,0,0,0,0,0,45(known),0,0,0,Surface water,"CARR. #1 KM 30 INTERSECCION 795
COMUNIDAD LA BARRA, CALLE #12 FINAL
CAGUAS, PR 00726",787-747-1848,CAGUAS,Caguas Municipio
ACUED. LA GRAMA,60,0,0,0,0,0,55(known),0,0,0,Surface water,"FINCA HIPOLITO MONTERO
CARR. 613 KM. 7.1 BO.TETUAN
UTUADO, PR 00641",787-894-4122,UTUADO,Utuado Municipio
COMUNIDAD MENDEZ,60,0,0,0,0,0,54(known),0,0,0,Surface water,"CARR.119 KM.7.6 SEC.MENDEZ
BO.ROSARIO ALTO
SAN GERMAN, PR 00683",787-892-8023,SAN GERMAN,San German Municipio
TALANTE,60,0,0,0,0,0,54(known),0,0,0,Surface water,"APARTADO 261
MAUNABO, PR 00707",787-861-8345,MAUNABO,Maunabo Municipio
CERROTE,58,0,0,0,0,0,37(known),0,0,0,Surface water,"CARR. 374 KM. 5.3 INT.
BO. RIO PRIETO SEC. CERROTE
YAUCO, PR 00698",787-267-5711,YAUCO,Yauco Municipio
COMITE RESIDENTE SECTOR BELLEZA,58,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR. 3391 KM. 1.4
SECTOR BELLAZA BO. RUCIO
PUNUELAS, PR 00624",,PENUELAS,Penuelas Municipio
VIVI ABAJO,57,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR.111 KM.2.1 INT
BO.VIVI ABAJO FCA. ANGEL MATOS
UTUADO, PR 00641",787-894-0319,UTUADO,Utuado Municipio
ACUEDUCTO COMUNIDAD SAN JOSE,56,0,0,0,0,0,55(known),0,0,0,Surface water,"HC-72 BOX 4185
NARANJITO, PR 00719",787-869-7794,NARANJITO,
ACUED. LAS DELICIAS,48,0,0,0,0,0,55(known),0,0,0,Surface water,"BO.CIALITOS FCA.RADAMES CINTRO
SEC.LAS DELICIAS CARR.533 KM31
CIALES, PR 00638",787-828-4248,CIALES,Ciales Municipio
ACUED. HACIENDA PLANELL,40,0,0,0,0,0,54(known),0,0,0,Surface water,"CARR. 124 RAMAL 4431 KM. 1.0
BO.PEZUELA FCA.ENRIQUE PLANELL
LARES, PR 00669",787-   -,LARES,Lares Municipio
LA CARMELITA,38,0,0,0,0,0,54(known),0,0,0,Surface water,"CARR. 139 KM. 20.7
SECT. LA CARMELITA
PONCE, PR 00731",787-284-1056,PONCE,Ponce Municipio
ACEITUNA III,36,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR. 561 PRIMER RAMAL FINAL
SECTOR ACEITUNA
VILLALBA, PR 00766",787-847-7687,VILLALBA,Villalba Municipio
TANAMA COMUNAL,35,0,0,0,0,0,55(known),0,0,0,Surface water,"CARR.526 KM.6.4
BO.TANAMA
ADJUNTAS, PR 00601",787-829-0639,ADJUNTAS,Adjuntas Municipio
SECTOR LAJITAS,33,0,0,0,0,0,55(known),0,0,0,Surface water,"BO. BORINQUEN
CARR. 765 KM. 3.4 INT.
CAGUAS, PR 00725",787-703-1068,CAGUAS,Caguas Municipio
CRUCERO,29,0,0,0,0,0,54(known),0,0,0,Surface water,"CARR. 131 KM 5.0
BO. GUILARTA, SECTOR CRUCERO
ADJUNTAS, PR 00601",787-829-5618,ADJUNTAS,Adjuntas Municipio
ACUEDUCTO COMUNIDAD EDEM,25,0,0,0,0,0,28(known),0,0,0,Surface water,"CARR. 7740 KM 3.9 INT.
BO. ESPINO SECT. QUEBRADA LAJA
SAN LORENZO, PR 00754",787-736-6169,SAN LORENZO,San Lorenzo Municipio
JEA QUALITY,25,,4(known),0,0,2(known),2(known),21(known),70(known),3(known),Surface water,"CARR. 802 KM. 3.4 INT.
BO. MANA SECTOR QDA FRIA
COROZAL, PR 00783",787-420-8483,COROZAL,Corozal Municipio
LA MONTANA,25,0,0,0,0,0,54(known),0,0,0,Surface water,"BO. RIO PRIETO SEC. LA MONTANA
CARR. 374 KM. 8.6 INT.
YAUCO, PR 00698",787-829-3614,YAUCO,Yauco Municipio
PLT.  MUNICIPAL CAROLINA,25,0,0,0,0,0,0,0,0,0,Surface water,"APARTADO # 8
CAROLINA, PR 00986-0008",787-257-2454,CAROLINA,Carolina Municipio
FARALLON,0,0,0,12(known),0,0,0,0,0,0,Surface water,"CARR.742 INT. BO.FARALLON
SECTOR CAMACHO
CAYEY, PR 00736",787-738-6141,CAYEY,Cayey Municipio
LUQUILLO URBANO,0,0,0,21(known),0,0,0,0,0,0,Surface water,"CARR. 983 KM 6.2
SABANA WARD
LUQUILLO, PR 00773",787-620-2277,LUQUILLO,Luquillo Municipio
